waveform	Sine
t0	01/01/1904  01:00:00,000000
delta t	0,001000

time	Sine
01/01/1904  01:00:00,192000	-9,832167E-1
01/01/1904  01:00:00,193000	-9,313866E-1
01/01/1904  01:00:00,194000	-8,463419E-1
01/01/1904  01:00:00,195000	-7,311156E-1
01/01/1904  01:00:00,196000	-5,898167E-1
01/01/1904  01:00:00,197000	-4,274841E-1
01/01/1904  01:00:00,198000	-2,499068E-1
01/01/1904  01:00:00,199000	-6,341759E-2
01/01/1904  01:00:00,200000	1,253332E-1
01/01/1904  01:00:00,201000	3,096145E-1
01/01/1904  01:00:00,202000	4,828545E-1
01/01/1904  01:00:00,203000	6,388752E-1
01/01/1904  01:00:00,204000	7,721128E-1
01/01/1904  01:00:00,205000	8,778158E-1
01/01/1904  01:00:00,206000	9,522147E-1
01/01/1904  01:00:00,207000	9,926563E-1
01/01/1904  01:00:00,208000	9,976985E-1
01/01/1904  01:00:00,209000	9,671614E-1
01/01/1904  01:00:00,210000	9,021340E-1
01/01/1904  01:00:00,211000	8,049352E-1
01/01/1904  01:00:00,212000	6,790314E-1
01/01/1904  01:00:00,213000	5,289124E-1
01/01/1904  01:00:00,214000	3,599317E-1
01/01/1904  01:00:00,215000	1,781153E-1
01/01/1904  01:00:00,216000	-1,005293E-2
01/01/1904  01:00:00,217000	-1,978626E-1
01/01/1904  01:00:00,218000	-3,786163E-1
01/01/1904  01:00:00,219000	-5,458680E-1
01/01/1904  01:00:00,220000	-6,936533E-1
01/01/1904  01:00:00,221000	-8,167020E-1
01/01/1904  01:00:00,222000	-9,106260E-1
01/01/1904  01:00:00,223000	-9,720758E-1
01/01/1904  01:00:00,224000	-9,988601E-1
01/01/1904  01:00:00,225000	-9,900237E-1
01/01/1904  01:00:00,226000	-9,458816E-1
01/01/1904  01:00:00,227000	-8,680082E-1
01/01/1904  01:00:00,228000	-7,591804E-1
01/01/1904  01:00:00,229000	-6,232792E-1
01/01/1904  01:00:00,230000	-4,651511E-1
01/01/1904  01:00:00,231000	-2,904350E-1
01/01/1904  01:00:00,232000	-1,053616E-1
01/01/1904  01:00:00,233000	8,346914E-2
01/01/1904  01:00:00,234000	2,693232E-1
01/01/1904  01:00:00,235000	4,455729E-1
01/01/1904  01:00:00,236000	6,059329E-1
01/01/1904  01:00:00,237000	7,446844E-1
01/01/1904  01:00:00,238000	8,568795E-1
01/01/1904  01:00:00,239000	9,385171E-1
01/01/1904  01:00:00,240000	9,866859E-1
01/01/1904  01:00:00,241000	9,996682E-1
01/01/1904  01:00:00,242000	9,770009E-1
01/01/1904  01:00:00,243000	9,194925E-1
